date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,square_meters_num,square_meter_price,address,zip_code,city,area,region,nominal_interest_rate,annual_inflation_rate,mortgage_bond_yield_rate
10/24/2024,2024Q4,16,Villa,regular_sale,1997,6500000,-3,5,142,45774.65,Spættevej 16,2680,Solrød Strand,"Capital, Copenhagen",Zealand,3.1,,
10/24/2024,2024Q4,13,Apartment,regular_sale,1885,3400000,0,2,46,73913.05,"Jakob Dannefærds Vej 10B, 4. th",1973,Frederiksberg C,"Capital, Copenhagen",Zealand,3.1,,
10/23/2024,2024Q4,60,Villa,regular_sale,1949,4550000,-4,4,112,40625,Vestre Plantagevej 3,2680,Solrød Strand,"Capital, Copenhagen",Zealand,3.1,,
10/23/2024,2024Q4,29,Villa,regular_sale,2001,1630000,-12,4,186,8763.44,Toftebjerg 3,4400,Kalundborg,Other islands,Zealand,3.1,,
10/22/2024,2024Q4,92,Apartment,regular_sale,1965,1975000,-10,3,82,24085.365,"Ryttergårdsvej 20, 1. 113",3520,Farum,North Zealand,Zealand,3.1,,
10/22/2024,2024Q4,82,Villa,regular_sale,1858,1850000,0,5,154,12012.987,Lehnskovvej 220,5700,Svendborg,Fyn & islands,Fyn & islands,3.1,,
10/22/2024,2024Q4,100,Summerhouse,regular_sale,1970,360000,0,3,42,8571.429,Alkærvej 9,2740,Skovlunde,"Capital, Copenhagen",Zealand,3.1,,
10/21/2024,2024Q4,125,Townhouse,family_sale,1980,700000,0,2,62,11290.322,Kirkebyen 3F,7950,Erslev,South jutland,Jutland,3.1,,
10/20/2024,2024Q4,150,Villa,regular_sale,1943,500000,0,6,202,2475.2476,Smedegade 15,6535,Branderup J,South jutland,Jutland,3.1,,
10/18/2024,2024Q4,177,Villa,regular_sale,1976,850000,-13,4,118,7203.3896,Overmarken 26,6670,Holsted,South jutland,Jutland,3.1,,
10/17/2024,2024Q4,196,Townhouse,regular_sale,1976,300000,0,2,67,4477.612,Anemonevej 7,6670,Holsted,South jutland,Jutland,3.1,,
10/17/2024,2024Q4,204,Villa,regular_sale,1932,2000000,-13,4,160,12500,Ewalds Alle 57,6700,Esbjerg,South jutland,Jutland,3.1,,
10/17/2024,2024Q4,195,Villa,regular_sale,1966,1870000,-1,4,125,14960,Havretoften 5,3630,Jægerspris,North Zealand,Zealand,3.1,,
10/16/2024,2024Q4,228,Villa,regular_sale,1963,3350000,-9,4,108,31018.518,Ellesvinget 5,8600,Silkeborg,East & mid jutland,Jutland,3.1,,
